transaction_id,user_id,timestamp,amount,merchant,category,is_fraud
TXN_068529F5,USR_A5EECF63E226,2024-06-20 17:40:37,1102.68,Meralco,bills,0
TXN_ACA02329,USR_182B087E69DF,2024-06-24 18:14:25,610.35,Puregold,grocery,0
TXN_64175344,USR_808A1D723D95,2024-06-08 22:24:01,106.57,Watsons,pharmacy,0
TXN_C21986AF,USR_B6B9EF3F5024,2024-06-18 10:44:41,558.5,Watsons,pharmacy,0
TXN_B023EA59,USR_6B7E4442630A,2024-06-03 18:53:02,685.38,LBC Remittance,remittance,0
TXN_026DEC0A,USR_FB615DE4D671,2024-06-04 13:26:50,35.76,LBC Remittance,remittance,0
TXN_D902F958,USR_A6066F1641A1,2024-06-09 13:01:03,572.9,Netflix PH,entertainment,0
TXN_4DEE0BCC,USR_3B2C3161D03A,2024-06-13 11:56:35,10.0,Angkas,transport,0
TXN_930C59A1,USR_015903CD07C7,2024-06-01 16:04:29,84.45,Watsons,pharmacy,0
TXN_98CE2126,USR_34FE12EE80EF,2024-06-01 14:51:29,676.02,Puregold,grocery,0
TXN_D34BC227,USR_2D4F6E6FB836,2024-06-26 12:38:12,183.14,Chowking,food,0
TXN_90993080,USR_349CAE2AD6F8,2024-06-03 10:59:56,1727.32,Spotify PH,entertainment,0
TXN_71B0173E,USR_74D061B410F8,2024-06-06 08:39:01,247.85,Bench,retail,0
TXN_AA139A6A,USR_35491B736320,2024-06-19 11:21:54,1015.4,Grab,transport,0
TXN_E23938C2,USR_1BBB23D8D0B2,2024-06-22 17:33:19,425.58,Netflix PH,entertainment,0
TXN_7DAC31AD,USR_7E8DC8F23BD4,2024-06-04 08:14:36,220.27,PLDT,bills,0
TXN_63599CC8,USR_5064144CAC5B,2024-06-01 15:15:58,221.36,Maynilad,bills,0
TXN_041FFA4B,USR_1190C8E8B774,2024-06-13 14:13:46,195.84,Uniqlo,retail,0
TXN_0C58B367,USR_17673CC86AC9,2024-06-15 13:15:06,307.88,PLDT,bills,0
TXN_64945943,USR_5A239ABA36FE,2024-06-09 18:58:09,1035.3,Netflix PH,entertainment,0
TXN_B847E52C,USR_5082EEF469C6,2024-06-28 15:52:22,580.36,Bench,retail,0
TXN_F253E530,USR_CD126D364C88,2024-06-22 11:55:30,822.81,H&M,retail,0
TXN_FD529283,USR_52CA9F2C4522,2024-06-07 12:17:36,2302.03,KFC,food,0
